user,itemKNN,BIAS,userKNN,SVD,BIASEDMF,BayesianRidge,Tweedie,Ridge,RandomForest,Bagging,AdaBoost,GradientBoosting,LinearSVR
1748,1.0,1.0,0.9817558680267064,0.9936842654610012,0.9936842654610012,1.0,0.9936842654610012,1.0,0.9936842654610012,1.0,0.9936842654610012,0.9936842654610012,1.0
1780,0.8443220749053791,0.8032124974996463,0.8854316523111121,0.8443220749053791,0.8032124974996463,0.8443220749053791,0.8443220749053791,0.8073956271442654,0.8443220749053791,0.8443220749053791,0.8443220749053791,0.8443220749053791,0.8443220749053791
1912,0.7994765465672334,0.9026211001048624,0.7738931964842559,0.8869465982421278,0.9999999999999998,0.9513105500524311,0.9026211001048624,0.9434732991210638,0.9513105500524311,0.9562649741625528,0.9999999999999998,0.9434732991210638,0.9286712450884907
1958,0.7119421443969475,0.8401389452607602,0.863436939846949,0.7965953335317201,0.874631358698567,0.7965953335317201,0.7965953335317201,0.7965953335317201,0.7471711847969627,0.7840976325580765,0.7840976325580765,0.7840976325580765,0.7488685921580613
2176,0.8276263333984303,0.6952370773390012,0.7288283392975129,0.7391876376195712,0.7557765019540136,0.7648970672693893,0.7648970672693893,0.7648970672693893,0.8693870521649719,0.9430509126448524,0.847205938810973,0.8733909227144641,0.6957746525567198
2395,0.8594278034881725,0.8538403501812236,0.8538403501812236,0.8538403501812236,0.8755681645019449,0.8538403501812236,0.8538403501812236,0.8594278034881725,0.8538403501812236,0.7602559664428189,0.8538403501812236,0.7808833050857575,0.8538403501812236
2594,0.9958615666506498,0.9786302127516298,1.0,0.9786302127516298,0.9958615666506498,0.9827686461009798,0.9827686461009798,0.9827686461009798,0.9827686461009798,0.9958615666506498,0.9827686461009798,0.9958615666506498,0.9827686461009798
2648,0.981818905285066,0.9575915563659508,0.9543271605402796,0.9575915563659508,0.981818905285066,0.9575915563659508,0.9575915563659508,0.9575915563659508,0.9543271605402796,0.981818905285066,0.9543271605402796,0.9575915563659508,0.9575915563659508
2847,0.8134372897604208,0.7495370385048754,0.9164188596616129,0.7549555415519688,0.7447217267129245,0.7549555415519688,0.8222811727490754,0.7549555415519688,0.7447217267129245,0.7763490942203064,0.7447217267129245,0.8100119098188597,0.7461116585633142
2898,0.9255108071950496,0.947838704708262,0.990247148342311,0.947838704708262,0.9105941083057868,0.9445743088825906,0.947838704708262,0.9445743088825906,0.9543271605402796,0.9575915563659508,0.9543271605402796,0.9559593584531152,0.9157579555373606
