user,SVD,BIASEDMF,NMF,StochasticItemKNN,BayesianRidge,Tweedie,Ridge,RandomForest,Bagging,AdaBoost,GradientBoosting,LinearSVR
727,0.952273258626341,0.952273258626341,1.0,1.0,0.922358100072226,0.922358100072226,0.922358100072226,0.922358100072226,0.9289752640401522,0.922358100072226,0.922358100072226,0.922358100072226
752,0.960980146057578,0.9471376325780616,0.939808430061906,0.9232127186711472,0.939808430061906,0.939808430061906,0.939808430061906,0.939808430061906,0.9471376325780616,0.939808430061906,0.939808430061906,0.9471376325780616
839,0.9591143267642596,0.9591143267642596,0.9559671464010228,0.7926448231727027,0.841989936541864,0.841989936541864,0.841989936541864,0.841989936541864,0.9093802016936648,0.841989936541864,0.841989936541864,0.841989936541864
911,0.8134372897604208,0.8032034749213766,0.8915999270517143,0.7318492725275663,0.8388594136254621,0.8388594136254621,0.8388594136254621,0.8100119098188597,0.8881745471101532,0.8422847935670232,0.80862197796847,0.8388594136254621
937,0.9856189186803198,0.9559671464010228,0.8734729561590509,0.9465644927824692,0.7738768276195722,0.7832794812381259,0.7738768276195722,0.7738768276195722,0.7801323008748892,0.801658465089823,0.7738768276195722,0.7738768276195722
1015,0.9616503052427172,0.8902679814029708,0.8755005827413433,0.9669673709175364,0.7848058069415611,0.7848058069415611,0.7848058069415611,0.7551344327946758,0.7861697184993869,0.7551344327946756,0.8144771810884464,0.7848058069415611
1019,0.8514136186974538,0.8394852212631588,0.799545222869038,0.9088946774211658,0.8554061956542417,0.8554061956542417,0.8554061956542417,0.8554061956542417,0.8696577506707472,0.7762292705097025,0.843477798219947,0.868037664732239
1088,0.8496964197196489,0.7012891051354676,0.5288475038066024,0.7304593406771765,0.83112505573773,0.9218373627087064,0.83112505573773,0.83112505573773,0.9218373627087064,0.83112505573773,0.83112505573773,0.83112505573773
1101,0.9796200160791764,0.9832792200754978,0.9216458228968442,0.9905524138848276,0.9738316339603252,0.9796200160791764,0.9738316339603252,0.9796200160791764,0.9796200160791764,0.9796200160791764,0.9738316339603252,0.9738316339603252
1113,0.7495277420282012,0.7952976494411795,0.7786013735265471,0.8415910255522548,0.8047023505588203,0.8047023505588203,0.8047023505588203,0.7864164170216356,0.7952976494411795,0.7756876422100976,0.7952976494411795,0.8047023505588203
1142,1.0,0.9591143267642596,0.9856189186803198,0.9559671464010228,0.9856189186803198,0.9591143267642596,0.9950215722988734,0.9950215722988734,0.9950215722988734,0.9950215722988734,0.9950215722988734,0.9950215722988734
1165,0.7854898021533239,0.7776079698446303,0.8876281827957239,0.6858288875242887,0.8690994276656355,0.8690994276656355,0.8606800201392232,0.8337318574827226,0.8606800201392232,0.8606800201392232,0.8606800201392232,0.8690994276656355
1202,0.8252072099638094,0.933158393684771,0.7899781695637941,0.904546517252682,0.8007784631763393,0.7924122038871012,0.8007784631763393,0.8007784631763393,0.7948979261706217,0.8377049109374531,0.8198933281179092,0.8007784631763393
1203,0.9707863300314586,0.9707863300314586,0.9737589844975316,0.7537066238889246,0.7707863300314587,0.7707863300314587,0.7707863300314587,0.7737589844975316,0.7445453145289903,0.7999999999999999,0.7970273455339271,0.7707863300314587
1243,0.9634829125393236,0.946503433816368,0.9137021644382828,1.0,0.9248037049627126,0.9248037049627126,0.9248037049627126,0.930681643161238,0.9634829125393236,0.930681643161238,0.957604974340798,0.9248037049627126
1274,0.8550939723073537,0.8029355106440134,0.8375657106244369,0.8747500017132412,0.8972566910972847,0.8972566910972847,0.8972566910972847,0.9559671464010228,0.9509887186998964,0.9219300356754552,0.9559671464010228,0.8972566910972847
1303,0.9153316445604492,0.8804894735788272,0.7203140720596599,0.5621851745523053,0.918304299026522,0.9707863300314586,0.918304299026522,0.9737589844975316,0.9294754043175896,0.9707863300314586,0.9707863300314586,0.9136019484677016
1306,0.8915999270517144,0.9252627426502676,0.8915999270517144,0.9320711775477508,0.8280224075312753,0.8280224075312753,0.8280224075312753,0.8334409105783688,0.8508059184352871,0.8334409105783688,0.8539085402564573,0.7977849718742831
1389,0.9660839794726382,0.8716082411592834,0.8504722579717987,0.707133170837459,0.7844066439884977,0.8368886749934344,0.7844066439884977,0.8982519384179151,0.870804695520796,0.9029542889767356,0.8457699074129783,0.7844066439884977
1421,0.9088946774211658,0.8985863659253792,0.942518941276288,0.8803422339520856,0.9362032067372892,0.942518941276288,0.9362032067372892,0.9362032067372892,0.9484831399934356,0.9362032067372892,0.9362032067372892,0.9362032067372892
1425,0.9059269434428084,0.87968592794034,0.8648593865886502,0.7530238651923709,0.8982519384179151,0.8982519384179151,0.8982519384179151,0.8368886749934344,0.930961731550626,0.8309433660612887,0.8398245984808326,0.8982519384179151
1451,0.8339160205273616,0.8940730565571915,0.8696807616268513,0.8982519384179151,0.7118355213962794,0.7702628613333619,0.7118355213962794,0.7702628613333619,0.8938113222081432,0.8427972529469054,0.6952792839518422,0.685594505893811
1500,0.8744761872842036,0.8439394029770342,0.668108034359845,0.4992634760883246,0.7799198009672192,0.7694870433927485,0.7799198009672192,0.7758790240170259,0.8155896347141988,0.7799198009672192,0.7758790240170259,0.7799198009672192
1524,0.9865965128961984,0.9966387450644216,0.9144428445909925,0.8438733978552172,0.7680825975406929,0.7647213426051144,0.808251526213586,0.8675942745073565,0.8438318652167055,0.8675942745073565,0.8675942745073565,0.808251526213586
1579,0.969762564343008,1.0,0.9555001783072598,0.8970184300988079,0.7997780949798156,0.7997780949798156,0.7997780949798156,0.7997780949798156,0.7606967763341688,0.7997780949798156,0.770930591173213,0.7997780949798156
1597,0.8304198973631919,0.764817358607021,0.8421757737602428,0.8421757737602428,0.8400136536443085,0.8728149230223939,0.8400136536443085,0.8400136536443085,0.8307470652995025,0.8362978355617174,0.8400136536443085,0.8400136536443085
1605,0.8554061956542417,0.9072745914826577,0.8985863659253792,0.8747295710567894,0.7876168254347431,0.799545222869038,0.7876168254347431,0.8177893548423315,0.8291769097673722,0.7939325599737418,0.7939325599737418,0.799545222869038
1645,0.9445453145289904,0.8678320410547231,0.936870309504097,0.7244929539203835,0.8017296960927474,0.8720109229154467,0.7876226444162863,0.8195288919105099,0.6905769333930218,0.675787123020007,0.742778887457568,0.7814339895224248
1647,0.8550939723073536,0.8653473480946875,0.7783010535369992,0.5577105106413974,0.4378652634411753,0.4643698553572356,0.4378652634411753,0.4643698553572356,0.5243573562151642,0.4328868357400488,0.4378652634411753,0.4378652634411753
1733,0.9572027470530944,0.9572027470530944,0.930961731550626,0.8851918241376476,0.8851918241376476,0.9029542889767356,0.8851918241376476,0.87968592794034,0.8474996035057258,0.8034961231641696,0.8474996035057258,0.8804894735788272
1748,0.9961581648476712,0.9961581648476712,0.9900808841271456,0.95232536780508,0.95232536780508,0.95232536780508,0.95232536780508,0.95232536780508,0.9408473331748118,0.956167202957409,0.956167202957409,0.95232536780508
1780,0.8633420161317488,0.8280976663381182,0.8058609574080365,0.8058609574080365,0.7313796808639876,0.7313796808639876,0.7313796808639876,0.7603082961186194,0.8058609574080365,0.7603082961186194,0.725063946324989,0.7666240306576181
1912,0.8869465982421278,0.9999999999999998,0.6538749916251779,0.8721445442095548,0.8997382732836166,0.9434732991210638,0.8997382732836166,0.8997382732836166,0.8997382732836166,0.7925117434660275,0.802359373388479,0.907575524214984
1958,0.8018683804512486,0.8347895726626685,0.7483798986843246,0.8280976663381182,0.7147556348292025,0.7483798986843246,0.7147556348292025,0.7892369113732514,0.8098535343648247,0.749999984622833,0.7539925615796209,0.7147556348292025
2047,0.9272558657558,0.9272558657558,0.9116035478696622,0.8066076923701182,0.6625305182249274,0.6625305182249274,0.6625305182249274,0.6625305182249274,0.6625305182249274,0.7202255258381324,0.6625305182249274,0.6625305182249274
2071,0.9258948952415028,0.9258948952415028,0.9378232926757976,0.9009588569436588,0.9258948952415028,0.9258948952415028,0.9258948952415028,0.9258948952415028,1.0,0.9258948952415028,0.9258948952415028,0.9258948952415028
