method,metric,analysis_type,mean,std,median,min,max,n,ci_lower,ci_upper
StochasticItemKNN,f1,vulnerable_gender,0.6633033004102684,0.048542182347180454,0.6749003434054082,0.5377358490566038,0.7258548290341932,100,0.653789032670221,0.6728175681503158
NMF,f1,vulnerable_gender,0.6801448737153788,0.04919040613921183,0.6841284717520366,0.5581395348837209,0.7633776678008042,100,0.6705035541120933,0.6897861933186643
BIASEDMF,f1,vulnerable_gender,0.705350095228776,0.04485462031457999,0.7122213341887451,0.5960698689956332,0.7760290556900726,100,0.6965585896471184,0.7141416008104337
SVD,f1,vulnerable_gender,0.7068661316165672,0.044079216944810366,0.7131575257768934,0.5914221218961625,0.7719830200121286,100,0.6982266050953844,0.71550565813775
SVD,mae,vulnerable_gender,0.7396769371654683,0.05837706357810628,0.7280303238103523,0.6664535644413597,0.8688720576062564,100,0.7282350327041595,0.7511188416267772
BIASEDMF,mae,vulnerable_gender,0.742663869683625,0.06446594750804423,0.7361007219502216,0.6584590233715004,0.8739425598869516,100,0.7300285439720483,0.7552991953952016
NMF,mae,vulnerable_gender,0.7821721607015368,0.07718516460978656,0.7779168366295517,0.6827721660613859,0.9491459860974598,100,0.7670438684380186,0.797300452965055
StochasticItemKNN,mae,vulnerable_gender,0.8429996474231919,0.05926034637048177,0.8226764743362405,0.7740995852510839,1.0056547575817458,100,0.8313846195345774,0.8546146753118063
GradientBoosting,mae,vulnerable_gender,0.8767409746761031,0.05176217989538428,0.8632353337979544,0.7954350467763496,0.9977326410667056,100,0.8665955874166078,0.8868863619355984
AdaBoost,mae,vulnerable_gender,0.8772447523171328,0.05198757500669995,0.8666378315845552,0.7935110451629979,0.9941856789806652,100,0.8670551876158197,0.887434317018446
RandomForest,mae,vulnerable_gender,0.8773112513043779,0.05205781279029804,0.8674702069114482,0.7927070940932712,0.9946120314475312,100,0.8671079199974795,0.8875145826112764
Tweedie,mae,vulnerable_gender,0.8776889664834948,0.05011195175011235,0.8714741748322666,0.7928168596063435,0.9974323622846444,100,0.8678670239404728,0.8875109090265169
BayesianRidge,mae,vulnerable_gender,0.8778432921220136,0.05111191839486747,0.8691445946691938,0.7987189506313148,0.9981668386732144,100,0.8678253561166196,0.8878612281274076
Ridge,mae,vulnerable_gender,0.8779708791830556,0.05118503871690374,0.8692375233261069,0.7988284964716408,0.9983983647842568,100,0.8679386115945424,0.8880031467715688
LinearSVR,mae,vulnerable_gender,0.8839680540781489,0.05254646083744675,0.871416394833469,0.8023229675022431,1.011809114568926,100,0.8736689477540094,0.8942671604022885
Bagging,mae,vulnerable_gender,0.8890561442271867,0.05268113465771123,0.8771561043815517,0.8027562969868842,1.0174725249220953,100,0.8787306418342753,0.8993816466200981
RandomForest,ndcg,vulnerable_gender,0.7983179498596519,0.028131197879554863,0.793984736399364,0.7359426920835185,0.8772180627609044,100,0.7928042350752591,0.8038316646440447
AdaBoost,ndcg,vulnerable_gender,0.7983866917663883,0.028904162382476294,0.7960996483127584,0.7334196256278571,0.8781639010468605,100,0.792721475939423,0.8040519075933537
GradientBoosting,ndcg,vulnerable_gender,0.7988321404137121,0.027760724537603542,0.7975917543507719,0.7355290040967446,0.8753693751699547,100,0.7933910384043418,0.8042732424230824
Tweedie,ndcg,vulnerable_gender,0.798959728576094,0.02840627404715622,0.7964477279333988,0.7328606824183898,0.8759538705869162,100,0.7933920988628513,0.8045273582893366
LinearSVR,ndcg,vulnerable_gender,0.7990324407953134,0.027946464826808085,0.7953889417249908,0.7403578369348179,0.8802138044280082,100,0.793554933689259,0.8045099479013679
BayesianRidge,ndcg,vulnerable_gender,0.7991899177618436,0.028080852459919373,0.7955259072043745,0.7391266324702469,0.8804173218974846,100,0.7936860706796993,0.8046937648439878
Ridge,ndcg,vulnerable_gender,0.7992437607655657,0.028161774816049173,0.7958453746128682,0.7414506114014401,0.8796878187848208,100,0.7937240529016201,0.8047634686295113
Bagging,ndcg,vulnerable_gender,0.8001006936590067,0.026364638316610015,0.7991597889047328,0.733381552560876,0.8774453629848907,100,0.7949332245489511,0.8052681627690623
StochasticItemKNN,ndcg,vulnerable_gender,0.8276330275307874,0.015259395172517612,0.8287584821929219,0.7850573550700745,0.8620299774917392,100,0.8246421860769739,0.8306238689846008
NMF,ndcg,vulnerable_gender,0.8618521343114857,0.018686220526223016,0.8636475828616861,0.8084756050133876,0.8895911960285778,100,0.858189635088346,0.8655146335346253
BIASEDMF,ndcg,vulnerable_gender,0.8739845547004172,0.015141432271687162,0.8718588971376153,0.8395238770011673,0.8978779498948222,100,0.8710168339751666,0.8769522754256679
SVD,ndcg,vulnerable_gender,0.8770368127108158,0.014786315472042158,0.876225068452273,0.8348855281678379,0.9035060821896168,100,0.8741386948782955,0.879934930543336
SVD,rmse,vulnerable_gender,0.9416164225894427,0.06996090272295512,0.9242879060187783,0.8567917608356603,1.0988099283102113,100,0.9279040856557434,0.9553287595231419
BIASEDMF,rmse,vulnerable_gender,0.945144152027207,0.0757972869680642,0.9320166799359972,0.844017165949856,1.104501140947132,100,0.9302878837814664,0.9600004202729476
NMF,rmse,vulnerable_gender,0.9943160650007961,0.09041014933049005,0.9789054398359402,0.8750958313032894,1.19064558130039,100,0.97659567573202,1.0120364542695721
StochasticItemKNN,rmse,vulnerable_gender,1.0742470651821734,0.07081833308416229,1.0496323369302214,0.992295641315705,1.2712859319388767,100,1.0603666718976776,1.0881274584666691
Tweedie,rmse,vulnerable_gender,1.1028304299825937,0.06001533426636844,1.0950157813025332,1.0020339153000977,1.2393918082991262,100,1.0910674244663856,1.1145934354988019
AdaBoost,rmse,vulnerable_gender,1.1037384907425452,0.06310477870404811,1.0982395352551624,1.000135815997681,1.2417835889891202,100,1.0913699541165518,1.1161070273685385
GradientBoosting,rmse,vulnerable_gender,1.1057889000408192,0.06316027402171796,1.0998664459982872,1.0047098811487416,1.2539981018224255,100,1.0934094863325625,1.1181683137490759
BayesianRidge,rmse,vulnerable_gender,1.1060987049281168,0.06131440098110753,1.1025036303567664,1.0101594961049356,1.2422629890396846,100,1.0940810823358198,1.1181163275204138
Ridge,rmse,vulnerable_gender,1.1062571484510155,0.06139652347553568,1.1025620790138633,1.0102452782704638,1.2425492373243348,100,1.0942234298498106,1.1182908670522205
RandomForest,rmse,vulnerable_gender,1.1063486665802438,0.06374466830912856,1.1035663205361974,1.0039215587150938,1.244163839516579,100,1.0938547115916546,1.118842621568833
LinearSVR,rmse,vulnerable_gender,1.1181128323686134,0.06406481023448758,1.1115396020406574,1.016303101228804,1.262636246945987,100,1.1055561295626537,1.130669535174573
