method,metric,analysis_type,mean,std,median,min,max,n,ci_lower,ci_upper
NMF,ndcg,fairness_ratio_activity,100.16990984893062,1.4644005543065162,100.03461555122328,96.93630136756774,105.00816162459354,100,99.88288734028654,100.45693235757469
RandomForest,ndcg,fairness_ratio_activity,108.22017078635345,10.290463949190848,106.39342983644111,95.01404863019128,149.64429124266672,95,106.15084331037608,110.28949826233082
Ridge,ndcg,fairness_ratio_activity,108.12115476559998,9.85023851863485,105.79893914568814,94.3321346784606,146.97235893463846,95,106.14035299493302,110.10195653626694
SVD,ndcg,fairness_ratio_activity,100.03646530398451,1.5736251325187285,99.6274787952074,96.3262939923138,104.30447727611632,100,99.72803477801084,100.34489582995819
StochasticItemKNN,ndcg,fairness_ratio_activity,101.38217943132037,1.7335468688368398,101.275218394913,96.78123417414666,105.61383007306952,100,101.04240424502835,101.72195461761238
Tweedie,ndcg,fairness_ratio_activity,108.36975027884418,10.133138613655541,106.14096702692018,93.663883648296,149.89978452033023,95,106.33205963101159,110.40744092667677
AdaBoost,rmse,fairness_ratio_activity,103.72131470647592,9.518077380003586,104.4487706077468,85.66239433290586,122.5132294882734,95,101.80730780278633,105.63532161016552
BIASEDMF,rmse,fairness_ratio_activity,93.5045676331606,2.831691326335929,92.71727284884983,89.58297148247327,99.5867115156526,100,92.94955613319877,94.05957913312244
Bagging,rmse,fairness_ratio_activity,103.91247105606762,9.464597161236963,104.11933561956828,85.06504994573815,122.9193909874277,95,102.00921858353502,105.81572352860022
BayesianRidge,rmse,fairness_ratio_activity,103.69954593550666,9.45388728222835,103.63773558114798,86.13715901765471,122.36500321321036,95,101.79844713136126,105.60064473965207
GradientBoosting,rmse,fairness_ratio_activity,103.93074886197515,9.70192147012454,104.14709847893144,85.85972379587992,122.64715136801516,95,101.97977242718747,105.88172529676282
LinearSVR,rmse,fairness_ratio_activity,103.9911414063906,9.538465540815942,103.52237311895564,86.5679904806584,123.11146692329184,95,102.07303461162107,105.90924820116012
NMF,rmse,fairness_ratio_activity,88.30749868368373,9.149761837440721,90.1038018517452,60.324573230142654,99.57193431474754,100,86.51414536354535,90.10085200382211
RandomForest,rmse,fairness_ratio_activity,103.9728728988856,9.665005873081682,104.30004146899418,85.97421743797878,122.6509353386814,95,102.0293198863683,105.9164259114029
Ridge,rmse,fairness_ratio_activity,103.69026083288227,9.441804098394684,103.63401862857604,86.14367928965511,122.32803703737434,95,101.79159185740423,105.58892980836032
SVD,rmse,fairness_ratio_activity,94.36668411191414,3.142836878765667,93.88326094836069,89.42852381084178,101.2677897793119,100,93.75068808367607,94.98268014015221
StochasticItemKNN,rmse,fairness_ratio_activity,92.19360857581862,8.882310218298258,93.81878528281365,64.22319928856682,103.87904197127126,100,90.45267577303215,93.93454137860508
Tweedie,rmse,fairness_ratio_activity,103.32033190097476,9.717543879609396,102.3972354469228,85.30071368397812,122.20525286262274,95,101.36621392841506,105.27444987353446
AdaBoost,f1,fairness_ratio_gender,91.64360908860954,10.729735033946842,91.89650267488472,73.89505328401816,117.07966444550216,100,89.54058102195596,93.74663715526312
BIASEDMF,f1,fairness_ratio_gender,96.88083936710474,5.984847512294367,96.96858629170057,82.22257898792705,110.06289530780477,100,95.70780925469505,98.05386947951443
Bagging,f1,fairness_ratio_gender,91.96475802206962,10.090150532959518,91.57590250276655,72.84478054104623,118.45642845942209,100,89.98708851760955,93.94242752652968
BayesianRidge,f1,fairness_ratio_gender,91.3795803048426,10.427937647015117,91.04486526379888,74.0785894373673,114.982905982906,100,89.33570452602764,93.42345608365757
GradientBoosting,f1,fairness_ratio_gender,91.78008156446684,10.042325117588806,91.82473697659458,74.15270578218515,115.578457075919,100,89.81178584141944,93.74837728751424
LinearSVR,f1,fairness_ratio_gender,92.01062744827986,9.828084886176457,92.24141070129932,74.81106334033426,116.12472985489347,100,90.08432281058927,93.93693208597045
NMF,f1,fairness_ratio_gender,98.14682081613883,7.629036559726721,97.67781273739776,80.44414925322299,118.09613723652537,100,96.6515296504324,99.64211198184526
RandomForest,f1,fairness_ratio_gender,91.73638901812288,10.245576806253506,91.75544016268009,74.8677810424434,116.5327321263088,100,89.72825596409719,93.74452207214857
Ridge,f1,fairness_ratio_gender,91.33544094220683,10.436241124452339,90.95149909577928,74.29011666299802,114.12077159630977,100,89.28993768181417,93.3809442025995
SVD,f1,fairness_ratio_gender,97.3104246391552,6.7261732493902695,96.98194822532722,81.21396540679052,111.42038216560508,100,95.99209468227471,98.62875459603569
StochasticItemKNN,f1,fairness_ratio_gender,98.19802500519836,9.85391973153803,96.84496722159605,76.84447043614763,121.92206687698612,100,96.2666567378169,100.12939327257982
Tweedie,f1,fairness_ratio_gender,90.83931727253734,11.212094609904971,90.70299277099306,73.38703116101213,119.66535647148386,100,88.64174672899597,93.03688781607872
AdaBoost,mae,fairness_ratio_gender,98.15259802086116,8.44366238594845,100.34048932628671,81.93285355911321,112.92975395622416,100,96.49764019321526,99.80755584850706
BIASEDMF,mae,fairness_ratio_gender,97.85674935379956,7.286537697630575,99.34942190835497,82.94291358706492,106.60774158034964,100,96.42858796506397,99.28491074253515
Bagging,mae,fairness_ratio_gender,97.78737049943342,8.320641948741391,99.81092590837639,80.81786028910923,112.34358579421134,100,96.1565246774801,99.41821632138674
BayesianRidge,mae,fairness_ratio_gender,98.22439624550323,8.413889013076044,100.57160896892088,81.14265486478634,111.65045893485504,100,96.57527399894032,99.87351849206614
GradientBoosting,mae,fairness_ratio_gender,97.93925272767166,8.48410906996731,100.2750299792125,81.33525186583333,112.56108378163144,100,96.27636734995806,99.60213810538525
LinearSVR,mae,fairness_ratio_gender,97.89449538887888,8.51323659222381,100.21304267487812,80.32838288392043,110.5042782521857,100,96.22590101680301,99.56308976095475
NMF,mae,fairness_ratio_gender,101.56000854826927,13.39309868629761,101.41369728339384,80.10434837272965,138.7883300817197,100,98.93496120575493,104.1850558907836
RandomForest,mae,fairness_ratio_gender,97.87851608119892,8.501389614955405,100.1917021715706,81.30715344038283,112.19448607619888,100,96.21224371666767,99.54478844573018
Ridge,mae,fairness_ratio_gender,98.23498967916709,8.41832465836187,100.58034883885318,81.13999581368046,111.71427806076096,100,96.58499804612816,99.88498131220601
SVD,mae,fairness_ratio_gender,98.15209222790868,7.622240811489392,100.42318828474953,81.31768128262775,107.14450935068872,100,96.65813302885677,99.6460514269606
StochasticItemKNN,mae,fairness_ratio_gender,101.5805028236607,13.923555982897705,102.09622436558514,79.23162746753609,139.90702738352283,100,98.85148585101274,104.30951979630865
Tweedie,mae,fairness_ratio_gender,97.99848760083425,8.15384179107955,100.44698954920007,80.88713926327443,111.00026465545372,100,96.40033460978266,99.59664059188584
AdaBoost,ndcg,fairness_ratio_gender,99.76445725241399,4.149022765251254,99.95613800412005,89.10432604534053,108.3203781801349,100,98.95124879042474,100.57766571440324
