method,metric,analysis_type,mean,std,median,min,max
Tweedie,f1,georisk,0.5569933998035721,0.016201204048939478,0.5573791944088353,0.5325359354616477,0.5863629000523464
Tweedie,ndcg,georisk,0.6700833169439329,0.0031837222961025482,0.6702779943017646,0.6632049805881012,0.6755938025451431
Tweedie,mae,georisk,0.591989757841952,0.006956359528298383,0.5919565835506477,0.5738611319989947,0.60517722628403
Ridge,rmse,georisk,0.6511748436137142,0.007737607576591928,0.6497692414438312,0.6333854021024219,0.6684787628659404
Ridge,f1,georisk,0.5686782494656095,0.015350067149274445,0.5660834121707148,0.5425795882654095,0.5945833799813511
Ridge,ndcg,georisk,0.6700486377028442,0.0030413521088274403,0.6706056340465348,0.6634088147143593,0.6749882614704757
Ridge,mae,georisk,0.5892121926724595,0.007038433067630739,0.5880041136440591,0.5715642750913413,0.602812736929077
RandomForest,rmse,georisk,0.6524489312788087,0.006348827639835958,0.6513081294427453,0.639212082068795,0.6688715572176605
RandomForest,f1,georisk,0.5708660939758909,0.01580109921224407,0.5733329427313201,0.5443306748098984,0.593009576591576
RandomForest,ndcg,georisk,0.6698162638266629,0.0029185454272280266,0.6702495383721438,0.6636396130943876,0.6735954585640018
RandomForest,mae,georisk,0.5910193951206594,0.005748306813895027,0.5910555297421956,0.5811561166406084,0.6029032727734233
Bagging,rmse,georisk,0.6582910793661132,0.006393334234539718,0.6562039366973962,0.650020335804391,0.6738551634009999
Bagging,f1,georisk,0.5677366358211182,0.014000069779126947,0.5705743036534197,0.5473820319907798,0.5925563211427601
Bagging,ndcg,georisk,0.6668226310972185,0.0033135587366528354,0.666865668282081,0.6610837954781059,0.6716219164204095
Bagging,mae,georisk,0.5963518037386402,0.006274840147992692,0.5950234738400927,0.5852348954217341,0.609622910058571
AdaBoost,rmse,georisk,0.6546900293723292,0.006265535486514971,0.6538946030400326,0.642407111681228,0.6706185947963028
AdaBoost,f1,georisk,0.5673799434848033,0.016803928349050774,0.5716227060382619,0.5284908230766757,0.588406856371267
AdaBoost,ndcg,georisk,0.6693589270476402,0.0027759182975963474,0.6693172598659296,0.6647840860570987,0.6743856967303019
AdaBoost,mae,georisk,0.5947663595523719,0.005656435229237919,0.595188765385378,0.5844401161996671,0.6065227419683406
GradientBoosting,rmse,georisk,0.6538803337173735,0.00566654143969638,0.6522144541546397,0.6468544412085772,0.6678275518507373
GradientBoosting,f1,georisk,0.572130489919619,0.014111690480441856,0.5731573771865415,0.5471771722971377,0.5943635403416856
GradientBoosting,ndcg,georisk,0.6693086247457714,0.0029170994848840425,0.6687747465680082,0.663582557844686,0.6742868342105334
GradientBoosting,mae,georisk,0.5921942548569685,0.0053349581793352314,0.5915933545700471,0.581596599660691,0.603308664461513
LinearSVR,rmse,georisk,0.651098823910599,0.0075073728046698915,0.6498954212569164,0.6343484253793146,0.6680143741676555
LinearSVR,f1,georisk,0.5755710224396828,0.014681511549750816,0.5785884848486322,0.5519007690672176,0.5978287949105419
LinearSVR,ndcg,georisk,0.6699285155470285,0.003155151548789652,0.6699290819173033,0.6636849552982078,0.6752210866618562
LinearSVR,mae,georisk,0.5878556995388912,0.006653835038785197,0.58596291411478,0.5718859656353811,0.6004094186330556
itemKNN,rmse,fairness_gender,0.07424170376037034,0.08820047584870198,0.0394649639041956,0.0022527601740007,0.3321250793733179
itemKNN,f1,fairness_gender,0.03597923022470804,0.03520498703244763,0.0264175289141714,0.0021239111765427,0.1486299355582901
itemKNN,ndcg,fairness_gender,0.02381356751378189,0.019281488470996037,0.02014504348178505,0.0003237417774439,0.0719380393651791
