method,metric,mean,std,median,min,max,n,ci_lower,ci_upper
SVD,ndcg,0.8899858298516188,0.009165198530818208,0.8920414371864148,0.8719676081406748,0.9073645615778604,100,0.8881894509395785,0.8917822087636591
GradientBoosting,ndcg,0.8909031236275625,0.010214884150423396,0.8919040420525105,0.8705838898664295,0.9070338712371612,100,0.8889010063340795,0.8929052409210455
AdaBoost,ndcg,0.8913525566838087,0.010070126648305993,0.8938470820880953,0.8701696852343479,0.9079261101206018,100,0.8893788118607407,0.8933263015068768
RandomForest,ndcg,0.8920233867705021,0.010347828437174566,0.8948577744187175,0.8724998773817892,0.9082644603565226,100,0.8899952123968159,0.8940515611441883
Ridge,ndcg,0.8921623812213074,0.01022896058766351,0.8923216058463342,0.8731420172915522,0.9084605258577116,100,0.8901575049461253,0.8941672574964895
BayesianRidge,ndcg,0.8922252887752616,0.010213424188655057,0.8921350652937199,0.8737338062621713,0.9082881230002746,100,0.8902234576342852,0.894227119916238
LinearSVR,ndcg,0.8923127156017029,0.010054008943187613,0.8920020809369519,0.873134380848363,0.907834376178714,100,0.8903421298488381,0.8942833013545677
Tweedie,ndcg,0.8925818793159879,0.010309695393930856,0.89232248392985,0.8740096011740771,0.9088078811692724,100,0.8905611790187774,0.8946025796131983
RandomForest,rmse,0.9273475987884524,0.04607924895679917,0.9286149373421928,0.860565337979563,1.0408928383883065,100,0.9183160659929198,0.936379131583985
Ridge,rmse,0.9282625901987828,0.05089997932708206,0.9303026144632176,0.8587642340710816,1.0660118420285265,100,0.9182861942506747,0.9382389861468908
BayesianRidge,rmse,0.9283619003413601,0.05117665329401268,0.9302169866059686,0.8587853786054329,1.0670742216715643,100,0.9183312762957336,0.9383925243869866
SVD,rmse,0.9289534111900373,0.034894301788012665,0.9289661951850209,0.8809012463828256,0.9844121620121826,100,0.9221141280395868,0.9357926943404877
LinearSVR,rmse,0.9289826960946381,0.047721103165497304,0.9320215362316486,0.8606541259968667,1.0585694660162226,100,0.9196293598742007,0.9383360323150756
AdaBoost,rmse,0.9304470894729294,0.04676565352129299,0.9307581245552041,0.8650239101961016,1.058424826961917,100,0.921281021382756,0.9396131575631028
BIASEDMF,rmse,0.9314261020469972,0.043732764085988377,0.93660028036966,0.8658739156023003,0.9958126905278124,100,0.9228544802861435,0.9399977238078508
GradientBoosting,rmse,0.9336705929210773,0.055540398790929285,0.9316430226346835,0.8609402024236175,1.0943024882614687,100,0.9227846747580553,0.9445565110840994
Tweedie,rmse,0.9346622372999909,0.05138397848085355,0.9329492790503497,0.8694320740018292,1.0739632440792866,100,0.9245909775177436,0.9447334970822382
Bagging,rmse,0.950706523528727,0.05550537279373554,0.946721495061017,0.8783938165568057,1.115612776892622,100,0.9398274704611548,0.9615855765962992
NMF,rmse,1.0218440460450549,0.15315203388610157,0.9905912217172905,0.902790881141094,1.465792540140716,100,0.991826247403379,1.0518618446867307
StochasticItemKNN,rmse,1.1048228844777384,0.12424255851926114,1.0602308739534945,1.0315065504563572,1.4845636152562287,100,1.080471343007963,1.1291744259475136
