user,rmse,f1,ndcg,mae
1767,0.6985751647034554,0.0,0.8803422339520856,0.6833939450012311
1779,1.0468953091169306,0.4,0.9803723397819989,0.9419721250895162
1780,0.8161094469899353,0.4,0.8371366129819089,0.6746972816713904
1812,0.554632899766056,0.6,0.9446891683271407,0.44055738974796976
1824,0.8211937719400988,0.5454545454545454,0.8720249033028676,0.6653464717054851
1837,0.9591055733968001,0.8571428571428571,0.8711387210020582,0.6670180877721908
1842,0.607696295020517,0.9193548387096774,0.9851048823336047,0.47700444537850417
1851,0.6564520605704823,0.5,0.8045990091353935,0.516122214001069
1912,1.214294715564235,0.18181818181818182,0.6318290737077945,1.0149213543142865
1925,1.155703604076618,0.4444444444444444,0.7596688857706064,0.9309926201951194
1930,0.5514770679080802,0.7777777777777778,0.9520747983656985,0.41567824963165195
1941,0.8370763187010939,0.5384615384615384,0.9272558657557999,0.6716028167228792
1943,0.8159748610338755,0.7333333333333333,0.870804695520796,0.6539579531159655
1954,1.275081519012396,0.25,0.7546685131358701,1.102782993535413
1958,0.7515856071784816,0.4745762711864407,0.8041788818607235,0.5783989331862309
1969,1.246262436655612,0.0,0.8724291758841374,1.0274943576282172
1978,1.1023438207396277,0.8767123287671232,0.9737589844975315,0.8391795546306583
1980,0.7694408812979527,0.6538461538461539,0.9572027470530944,0.6141917367638305
1996,1.3482545251686935,0.5714285714285714,0.9689286185531044,1.1227091140909071
2022,0.8232072703994937,0.7647058823529411,0.9051681556375121,0.6507383179451323
2023,0.9692809692833352,0.8421052631578947,0.9737589844975315,0.7232816608064921
2036,0.7233121309704432,0.9090909090909091,0.9999999999999999,0.7104989390135662
2041,0.7574211381619612,0.6666666666666666,0.9520747983656986,0.5917430727476864
2047,0.7803576898955239,0.7272727272727273,0.8846878019408742,0.6209377497698358
2050,0.7008105552825064,0.7441860465116279,0.7923249949751067,0.5797396973899225
2063,0.9910912936461947,0.18604651162790697,0.7445453145289903,0.8339553994539629
2070,0.7686767408441576,0.967741935483871,0.9572027470530945,0.6863022221088487
2071,0.5194619641854732,0.5,0.9322106297805014,0.4653434607716605
2077,0.979963575964945,0.6666666666666666,0.9287752030207207,0.8023237524183808
