method,value
BIASEDMF,0.0804183044803671
BIASEDMF,0.0833780820233239
BIASEDMF,0.0787285103144352
BIASEDMF,0.0860071123391408
BIASEDMF,0.0846057177476135
BayesianRidge,0.0573924126555704
BayesianRidge,0.046298121719858
BayesianRidge,0.0541780434004308
BayesianRidge,0.053814935064935
BayesianRidge,0.0504371970855379
BayesianRidge,0.0104408112410353
BayesianRidge,0.0030634195082854
BayesianRidge,0.0041879851296593
BayesianRidge,0.0032296395600378
BayesianRidge,0.0106078522098264
BayesianRidge,0.0547686902118826
BayesianRidge,0.0552897603107571
BayesianRidge,0.0578560913126172
BayesianRidge,0.0504243412613133
BayesianRidge,0.0558936143355291
BayesianRidge,0.0229526484297637
BayesianRidge,0.0228459587746973
BayesianRidge,0.0214596209911099
BayesianRidge,0.0200591650218279
BayesianRidge,0.0175909676211507
BayesianRidge,0.0590784988199725
BayesianRidge,0.0499306405922057
BayesianRidge,0.0492337172544824
BayesianRidge,0.0547414886238291
BayesianRidge,0.0467082080481096
BayesianRidge,0.0541415730310855
BayesianRidge,0.0578234090102623
BayesianRidge,0.0635026722319632
BayesianRidge,0.0520357899932442
BayesianRidge,0.0559647613834805
BayesianRidge,0.1597471653218301
BayesianRidge,0.1557423857868021
BayesianRidge,0.1587089848278403
BayesianRidge,0.16030637847184
BayesianRidge,0.1612178981568678
BayesianRidge,0.1280267070487443
BayesianRidge,0.1428482698578851
BayesianRidge,0.1287946460021134
BayesianRidge,0.1320324087906105
BayesianRidge,0.1391470680464095
BayesianRidge,0.0227843736710839
BayesianRidge,0.0235366060811959
BayesianRidge,0.0216469788391263
BayesianRidge,0.0173484033626921
BayesianRidge,0.0285363661849479
BayesianRidge,0.0871820047542412
BayesianRidge,0.0744879941048065
BayesianRidge,0.0787457388076334
BayesianRidge,0.0854286871233539
BayesianRidge,0.0759692855674548
BayesianRidge,0.0030538216283356
BayesianRidge,0.002336045764173
BayesianRidge,0.0056824993406382
BayesianRidge,0.006558845014885
BayesianRidge,0.0096950467124977
BayesianRidge,0.0836813369451842
BayesianRidge,0.0886965699478157
BayesianRidge,0.0990505162241888
BayesianRidge,0.095708630606399
BayesianRidge,0.1020194293582192
BayesianRidge,0.0216541006470014
BayesianRidge,0.031068860388232
BayesianRidge,0.0157358108253756
BayesianRidge,0.0182620006322258
BayesianRidge,0.0136833124003031
BayesianRidge,0.0388768310423425
BayesianRidge,0.0430440771349862
BayesianRidge,0.0607063587866515
BayesianRidge,0.0623019149856474
BayesianRidge,0.0488317890953803
BayesianRidge,0.0634628044766293
BayesianRidge,0.0532974842122229
BayesianRidge,0.0286738351254479
BayesianRidge,0.0383099880519612
BayesianRidge,0.0354849895063418
BayesianRidge,0.0335595418554606
BayesianRidge,0.038621287062972
BayesianRidge,0.0513727004267841
BayesianRidge,0.02398490837226
BayesianRidge,0.0399407794613908
BayesianRidge,0.1746359161836004
BayesianRidge,0.183094262295082
BayesianRidge,0.1687460370112125
BayesianRidge,0.1591743700139293
BayesianRidge,0.1557406152157774
BayesianRidge,0.1500611396429444
BayesianRidge,0.1659513590844063
BayesianRidge,0.176829095265871
BayesianRidge,0.1733274173612651
BayesianRidge,0.1783897577679596
BayesianRidge,0.1905901116427432
BayesianRidge,0.2191518159260094
BayesianRidge,0.1836109936575052
BayesianRidge,0.1905187835420393
BayesianRidge,0.1857509994288977
Tweedie,0.0419475516466346
Tweedie,0.0460699942627652
Tweedie,0.05883426911656
Tweedie,0.0508995855591604
Tweedie,0.0510356633792925
Tweedie,0.0011265555487217
Tweedie,0.0030573855971867
Tweedie,0.0018592723192819
Tweedie,0.0023727342456905
Tweedie,0.006287588846364
Tweedie,0.0631401419358519
Tweedie,0.0594887790464919
Tweedie,0.0632598754349964
Tweedie,0.0626195237388335
Tweedie,0.0618447145509788
Tweedie,0.027305237722378
Tweedie,0.0249808051473932
Tweedie,0.0230282572235314
Tweedie,0.0268454624770921
Tweedie,0.0214540077798047
Tweedie,0.0712506244982963
Tweedie,0.0581996086105675
Tweedie,0.0600062938610391
Tweedie,0.0603482616012603
Tweedie,0.0663263989480049
Tweedie,0.0431044994512864
Tweedie,0.0590558118107779
Tweedie,0.0571621181830861
Tweedie,0.0435963632281961
Tweedie,0.0504683984191151
Tweedie,0.1387104712686108
Tweedie,0.1436065378128548
Tweedie,0.1512567638100065
Tweedie,0.1530236303828691
Tweedie,0.1503686024927075
Tweedie,0.1355821367265197
Tweedie,0.1265304611069043
Tweedie,0.1254261906582066
Tweedie,0.1306140889937991
Tweedie,0.1322625808849534
